,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
0,st,eminem,safe,people,closed,cm,emergency,storm,like,nltraffic
1,winds,click,stay,says,weather,today,state,snow,snow,power
2,cm,photo,storm,cityofstjohns,envcanada,pm,st,blizzard,door,road
3,nlstorm,saveng,newfoundland,help,st,day,john,newfoundland,house,today
4,wind,michelleobama,nlstorm,city,schools,th,tomorrow,day,street,people
5,nltraffic,learn,warm,thank,remain,january,closed,like,window,st
6,km,sexeducation,today,st,ended,snowfall,city,canada,nlwx,open
7,blizzard,starr,friends,need,metro,st,nltraffic,time,nlstorm,drive
8,airport,ken,blizzard,today,nlschools,total,cityofstjohns,snowstorm,good,street
9,john,pin,home,nltraffic,blizzard,mount,update,st,view,like
