,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
0,storm,envcanada,st,blizzard,help,cm,storm,st,door,emergency,nltraffic,eminem,closed,today,safe
1,like,nlstorm,street,st,thank,winds,like,cm,window,state,power,click,st,open,stay
2,snow,st,john,canada,people,km,newfoundland,pm,snow,st,road,photo,remain,st,warm
3,day,ended,power,storm,says,st,safe,today,got,city,cbcnl,saveng,nltraffic,people,newfoundland
4,time,fri,emergency,snowstorm,ball,wind,today,state,house,cityofstjohns,drive,learn,weather,nltraffic,friends
5,going,issued,day,newfoundland,thanks,blizzard,people,day,car,says,vocm,michelleobama,tomorrow,food,nlstorm
6,nlstorm,weather,like,state,working,pm,stay,january,street,open,st,sexeducation,metro,day,hope
7,today,statement,morning,emergency,workers,yyt,ve,emergency,drift,soe,vocmnews,ken,john,store,storm
8,newfoundland,airport,end,john,military,snowfall,day,th,like,nltraffic,cove,starr,schools,sobeys,blizzard
9,people,johns,road,winter,today,storm,snow,jan,view,people,nlstorm,pin,update,stores,canada
