,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
0,click,road,storm,storm,safe,thank,open,like,la,closed,nltraffic,power,like,today,nltraffic,st,storm,feelin,time,emergency
1,photo,snow,blizzard,like,stay,people,stores,storm,ball,st,cityofstjohns,nltraffic,snow,cm,pearl,cm,day,therealbigthump,street,state
2,michelleobama,nltraffic,canada,emergency,warm,today,grocery,newfoundland,assistance,remain,city,road,house,day,cbcnl,winds,like,saturdaymorning,door,st
3,learn,high,newfoundland,tomorrow,friends,help,food,good,premier,tomorrow,says,st,ve,pm,mount,airport,snow,eminem,day,declared
4,saveng,roads,snowstorm,people,envcanada,work,st,nlstorm,les,john,people,cove,blizzard,january,st,km,safe,newest,got,city
5,sexeducation,today,snow,today,weather,emergency,today,day,en,update,roads,nfpower,newfoundland,th,vocmnews,nlstorm,today,got,storm,john
6,eminem,conditions,winter,time,newfoundland,thanks,people,power,says,january,st,area,door,total,eddiesheerr,yyt,winter,lit,car,cityofstjohns
7,ken,street,st,home,hope,workers,store,blizzard,federal,weather,road,outage,storm,snowiest,morning,wind,stay,flow,today,effect
8,starr,visibility,nl,going,home,working,pm,window,help,emergency,today,outages,today,jan,bay,pm,newfoundland,pulse,driveway,businesses
9,pin,car,nlstorm,safe,nlstorm,great,free,weather,le,metro,emergency,battery,window,snowfall,john,blizzard,people,tiktok_us,clear,mayor
