,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
0,emergency,eminem,safe,cbcnl,people,like,nltraffic,closed,cm
1,state,photo,stay,today,today,storm,road,st,st
2,st,click,blizzard,thank,storm,snow,power,tomorrow,winds
3,city,learn,newfoundland,people,need,time,st,john,pm
4,cityofstjohns,saveng,storm,day,like,day,street,remain,today
5,says,michelleobama,canada,home,day,newfoundland,drive,january,km
6,declared,sexeducation,weather,work,grocery,going,pearl,update,airport
7,john,ken,nlstorm,help,food,blizzard,roads,emergency,yyt
8,mayor,starr,warm,storm,open,house,line,state,snowfall
9,roads,pin,snowstorm,nltraffic,know,today,mount,today,blizzard
