,text,label
2,Snow band starting to pivot over the Avalon. Heavy snow to continue for a few more hours. Winds several more. #NLwx https://t.co/tHQVt6XLwL,
4,Anytime anyone speculated yesterday about the severity of the storm I said my headache was certain it was gonna be… https://t.co/4WZIulE2dC,
5,@EddieSheerr Eddie... TWN forecast has the wind starting to ease slightly every hour after 9:00PM. Is that accurate? #nlblizzard2020 #NLWX,
6,"These pictures from newfoundland are crazyy, I will never complain about ottawa winters again 😭 #nlblizzard2020",
7,Visibility reduced in most ares of @towngfw this hour. It’s good to see most motorists have stayed home. Town crews… https://t.co/bEzOHQSeXt,
8,#Hiphops newest got us #Lit with his #dope flow and he's #GotDrip #BING 💯 @tiktok_us feelin @therealbigthump… https://t.co/SdDgJenmwX,
10,The snow drift out front is taller than my city-issued garbage bin now. There is no telling where the set of stairs… https://t.co/FhY7aOvRzc,
13,Satellite perspective of the Atlantic today. These double barrelled lows sure look cool. The one on the left is… https://t.co/HBy5jMSOKm,
14,Two lines down in my backyard. One goes to my neighbour's house. Not sure if that's for NLPower or a cable company?… https://t.co/Ytc4SvustE,
15,Winds seem to be increasing in Airport Heights or at least higher gusts #nlwx,
16,I’m going to head upstairs and watch the #Mandalorian. Have been saving it. #nlwx https://t.co/bbz8GuYUCX,
17,I was wondering if anyone remembered the storm we had at the end of April in 1998 or 99? I believe we had 60cms in 1 night. #nlwx,
18,Thinking of our fellow Canadians in Newfoundland and Labrador bearing the brunt of a massive winter storm. Unfortun… https://t.co/z45e9gqflv,
19,Once again we are a divided country.  Both Vancouver (4”) and Newfoundland (4’) are using #snowmaggedon2020 and I’m… https://t.co/mGEr9LcY0b,
21,"HO
LY
COW

Hope everyone stays safe! #Snowmageddon2020 #nlblizzard2020 https://t.co/1yiqXc7Drt",
22,"Alright, who's getting storm drunk with me? #nlwx",
23,"With a 13-day snowfall of 113.0cm, Jan 5th➞Jan 17th were #StJohns's snowiest 13 days in almost 15 years, since Feb 3rd, 2005. #NLWx",
24,This is all just too unreal. #nltraffic @VOCMNEWS #nlwx https://t.co/cDNDGjRvPz,
