,Topic,Word,P
0,0,storm,0.04137425869703293
1,0,like,0.03321116790175438
2,0,emergency,0.030423849821090698
3,0,one,0.02731473743915558
4,0,canada,0.025271957740187645
5,0,state,0.024579983204603195
6,0,today,0.021322889253497124
7,0,time,0.02099861204624176
8,0,love,0.01903402991592884
9,0,road,0.015420778654515743
10,1,people,0.026080476120114326
11,1,got,0.025901490822434425
12,1,tomorrow,0.019805660471320152
13,1,great,0.01930924318730831
14,1,nlstorm,0.0186742153018713
15,1,downtown,0.01852276176214218
16,1,neighbours,0.017923075705766678
17,1,this,0.01749509945511818
18,1,thank,0.017152732238173485
19,1,way,0.01561694499105215
20,2,nlstorm2020,0.06969007104635239
21,2,snowmageddon2020,0.05204959586262703
22,2,nltraffic,0.0259301345795393
23,2,winter,0.02128569222986698
24,2,street,0.019235875457525253
25,2,everyone,0.016934284940361977
26,2,open,0.016635339707136154
27,2,day,0.016610873863101006
28,2,go,0.016170339658856392
29,2,hope,0.014591962099075317
30,3,newfoundland,0.1049940288066864
31,3,blizzard,0.03370026499032974
32,3,help,0.020050929859280586
33,3,newfoundlandstorm,0.018756702542304993
34,3,photos,0.015120754949748516
35,3,you,0.014025406911969185
36,3,weather,0.01294134370982647
37,3,please,0.012770439498126507
38,3,work,0.012659174390137196
39,3,another,0.012345071882009506
40,4,snow,0.12098123133182526
41,4,st,0.04546450078487396
42,4,john,0.026430875062942505
43,4,get,0.02309630811214447
44,4,nl,0.02087615430355072
45,4,it,0.020350681617856026
46,4,good,0.014723336324095726
47,4,still,0.01365564949810505
48,4,home,0.013161370530724525
49,4,see,0.0115588353946805
