,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
0,blizzard,st,emergency,like,canada,it,day,got,storm
1,help,john,nltraffic,one,tomorrow,good,open,days,snow
2,nlstorm,winter,state,today,road,still,cm,house,get
3,this,nl,people,time,nlwx,home,need,way,great
4,weather,neighbours,newfoundland,newfoundlandstorm,could,see,january,re,know
5,getting,thank,street,love,cbcnl,nlsnowstorm2020,snowfall,soe,anyone
6,making,many,go,work,two,thanks,power,little,yyt
7,downtown,out,photos,that,mount,cityofstjohns,monday,now,lol
8,stjohnsnl,tonight,everyone,much,never,again,first,us,new
9,update,ve,you,would,seen,walk,last,ok,car
